vehicle_id,lane,frame,timestamp_sec
6403,1,6324,210.80
6419,1,6336,211.20
6426,2,6343,211.43
6430,1,6346,211.53
6431,1,6346,211.53
6435,1,6350,211.67
6437,2,6350,211.67
6438,2,6350,211.67
6444,1,6355,211.83
6459,3,6368,212.27
6471,1,6379,212.63
6471,2,6380,212.67
6474,1,6380,212.67
6483,2,6386,212.87
6487,1,6388,212.93
6492,2,6393,213.10
6497,1,6396,213.20
6523,2,6408,213.60
6522,3,6409,213.63
6543,2,6421,214.03
6497,2,6429,214.30
6545,1,6430,214.33
6561,2,6442,214.73
6437,1,6446,214.87
6580,1,6455,215.17
6581,1,6455,215.17
6585,1,6460,215.33
6589,2,6464,215.47
6594,2,6466,215.53
6615,1,6478,215.93
6627,2,6483,216.10
6629,1,6485,216.17
6632,1,6487,216.23
6633,1,6489,216.30
6649,2,6498,216.60
6680,2,6518,217.27
6681,2,6518,217.27
6684,2,6522,217.40
6691,2,6526,217.53
6692,2,6526,217.53
6693,2,6530,217.67
6694,2,6534,217.80
6696,2,6537,217.90
6697,1,6539,217.97
6703,1,6545,218.17
6706,2,6555,218.50
6707,1,6555,218.50
6709,3,6562,218.73
6712,2,6575,219.17
6726,2,6583,219.43
6731,2,6589,219.63
6733,2,6591,219.70
6737,1,6596,219.87
6741,2,6599,219.97
6744,1,6601,220.03
6746,2,6603,220.10
6753,2,6614,220.47
6632,2,6642,221.40
6787,2,6653,221.77
6789,1,6655,221.83
6791,2,6659,221.97
6808,2,6677,222.57
6822,1,6704,223.47
6827,2,6711,223.70
6837,1,6720,224.00
6838,2,6721,224.03
6845,1,6729,224.30
6853,2,6735,224.50
6857,2,6738,224.60
6859,2,6740,224.67
6868,1,6748,224.93
6870,2,6750,225.00
6874,1,6753,225.10
6877,1,6754,225.13
6880,2,6757,225.23
6883,1,6758,225.27
6898,2,6771,225.70
6906,1,6787,226.23
6822,2,6796,226.53
6920,2,6810,227.00
6921,2,6811,227.03
6925,3,6816,227.20
6935,2,6823,227.43
6952,2,6854,228.47
6984,2,6883,229.43
6920,1,6890,229.67
7004,1,6896,229.87
7008,2,6899,229.97
7016,2,6910,230.33
7021,2,6920,230.67
7025,2,6933,231.10
7041,1,6953,231.77
7043,2,6954,231.80
7051,1,6959,231.97
7078,2,6979,232.63
7083,2,6988,232.93
7086,2,6993,233.10
7087,2,6998,233.27
7089,2,7003,233.43
7092,1,7004,233.47
7099,2,7032,234.40
7101,2,7037,234.57
7111,2,7061,235.37
7118,2,7071,235.70
7122,2,7082,236.07
7153,1,7129,237.63
7163,2,7142,238.07
7167,2,7147,238.23
7118,1,7150,238.33
7174,1,7159,238.63
7177,2,7161,238.70
7178,2,7161,238.70
7179,2,7165,238.83
7185,2,7179,239.30
7191,2,7192,239.73
7202,1,7206,240.20
7203,2,7212,240.40
7212,2,7228,240.93
7218,2,7234,241.13
7202,2,7236,241.20
7225,1,7241,241.37
7177,1,7252,241.73
7237,3,7257,241.90
7243,1,7263,242.10
7261,2,7283,242.77
7273,3,7302,243.40
7275,2,7310,243.67
7277,1,7312,243.73
7286,2,7325,244.17
7288,2,7330,244.33
7290,3,7337,244.57
7306,3,7369,245.63
7318,1,7379,245.97
7288,1,7396,246.53
7330,2,7407,246.90
7331,3,7409,246.97
7335,2,7413,247.10
7341,1,7416,247.20
7344,1,7418,247.27
7345,2,7420,247.33
7357,1,7430,247.67
7376,1,7442,248.07
7377,2,7442,248.07
7394,1,7458,248.60
7396,2,7459,248.63
7403,2,7468,248.93
7410,2,7488,249.60
7414,1,7490,249.67
7420,2,7500,250.00
7427,2,7509,250.30
7429,2,7513,250.43
7433,2,7521,250.70
7438,1,7524,250.80
7441,2,7525,250.83
7442,2,7525,250.83
7445,2,7529,250.97
7414,2,7533,251.10
7451,2,7539,251.30
7458,1,7542,251.40
7465,1,7548,251.60
7482,2,7558,251.93
7490,2,7568,252.27
7492,2,7574,252.47
7420,1,7578,252.60
7507,1,7592,253.07
7525,3,7606,253.53
7527,1,7606,253.53
7533,1,7612,253.73
7555,2,7622,254.07
7560,2,7627,254.23
7567,1,7633,254.43
7573,2,7637,254.57
7578,1,7642,254.73
7584,2,7652,255.07
7594,2,7656,255.20
7601,1,7659,255.30
7609,1,7663,255.43
7567,2,7670,255.67
